ID,present,WC_alt,WC_bio1,WC_bio12,ER_tri,ER_thermicityIndex,lon,lat
4630,1,2670,7.5,603,40.77000045776367,63,-105.704705,32.951795
4631,1,11,10.5,1941,8.140000343322754,221,-123.93162,46.107582
4632,1,1813,-1,562,112.27999877929688,-219,-117.721266,52.755853
4633,1,2567,2.799999952316284,615,94.93000030517578,-79.75,-111.148901,40.658022
4634,1,2271,6.199999809265137,410,35.58000183105469,9.25,-112.519378,37.443600000000004
4635,1,2259,9.399999618530273,494,45.77000045776367,109,-105.670904,33.332697
4636,1,1591,0.699999988079071,581,144.08999633789062,-170.75,-115.319285,51.056014
4637,1,2,10.300000190734863,2015,5.880000114440918,218,-124.0049,46.222553
4638,1,2643,3,586,75.61000061035156,-91.75,-107.074273,37.38694
4639,1,93,11.399999618530273,1543,49.7599983215332,247,-124.139706,43.059659
4640,1,2346,9,511,62.619998931884766,97,-105.667238,33.333434
4641,1,2375,4.5,528,29.100000381469727,-45.25,-107.101877,37.271304
4642,1,360,15.300000190734863,384,64.41999816894531,296,-121.233045,37.170286
4643,1,2259,9.399999618530273,494,45.77000045776367,109,-105.666793,33.332293
4644,1,2396,8.800000190734863,541,50.9900016784668,95,-105.676978,33.151153
4645,1,1591,0.699999988079071,581,144.08999633789062,-170.75,-115.319403,51.056147
4646,1,51,13.699999809265137,67,37.77000045776367,321.5,-121.189321,35.644014
4647,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.037108,41.324192
4648,1,44,9.399999618530273,1220,18.809999465942383,152,-123.72143,48.815575
4649,1,2099,7.699999809265137,413,103.30000305175781,56,-112.118749,36.045917
4650,1,44,9.399999618530273,1220,18.809999465942383,152,-123.72144,48.815542
4651,1,2259,9.399999618530273,494,45.77000045776367,109,-105.667338,33.331531
4652,1,216,8.100000381469727,1588,32.16999816894531,104,-125.27043,49.89557
4653,1,51,13.699999809265137,67,37.77000045776367,321.5,-121.189321,35.644014
4654,1,822,13.699999809265137,624,73.88999938964844,284,-121.590478,37.298281
4655,1,44,9.399999618530273,1220,18.809999465942383,152,-123.721422,48.815557
4656,1,2346,9,511,62.619998931884766,97,-105.671889,33.333418
4657,1,44,9.399999618530273,1220,18.809999465942383,152,-123.72144,48.815587
4658,1,387,11.100000381469727,1452,74.69000244140625,234,-123.977374,40.793917
4659,1,6,11.800000190734863,1896,7.039999961853027,267,-124.200067,41.901463
4660,1,44,9.399999618530273,1220,18.809999465942383,152,-123.721405,48.81556
4661,1,2344,9,525,39.93000030517578,100,-105.684792,33.174072
4662,1,44,9.399999618530273,1220,18.809999465942383,152,-123.721415,48.815596
4663,1,44,9.399999618530273,1220,18.809999465942383,152,-123.7214,48.815567
4664,1,6,11.800000190734863,1896,7.039999961853027,267,-124.180703,41.887363
4665,1,44,9.399999618530273,1220,18.809999465942383,152,-123.721454,48.815608
4666,1,2670,7.5,603,40.77000045776367,63,-105.715095,32.959122
4667,1,2491,4.099999904632568,441,93.80999755859375,-52,-105.519255,40.380703
4668,1,2670,7.5,603,40.77000045776367,63,-105.730705,32.955372
4669,1,2240,9.600000381469727,484,46.560001373291016,113,-105.666534,33.33075
4670,1,34,12.899999618530273,969,22.809999465942383,294.5,-122.980833,38.162985
4671,1,258,7.599999904632568,2517,115.98999786376953,135,-127.8462,50.34086
4672,1,1268,12.800000190734863,339,76.2699966430664,232,-118.656496,35.096264
4673,1,249,9.199999809265137,2417,44.81999969482422,170,-123.659255,46.148848
4674,1,1498,1.899999976158142,545,52.279998779296875,-136.25,-114.035777,49.97814
4675,1,1268,12.800000190734863,339,76.2699966430664,232,-118.656625,35.095527
4676,1,2240,9.899999618530273,489,49.38999938964844,129,-105.569518,32.916267
4677,1,1268,12.800000190734863,339,76.2699966430664,232,-118.656625,35.095527
4678,1,1880,9.199999809265137,381,57.90999984741211,100.75,-112.617978,37.290926
4679,1,1268,12.800000190734863,339,76.2699966430664,232,-118.656625,35.095527
4680,1,1268,12.800000190734863,339,76.2699966430664,232,-118.656625,35.095527
4681,1,1268,12.800000190734863,339,76.2699966430664,232,-118.656625,35.095527
4682,1,57,13,1025,31.049999237060547,294.5,-122.923068,38.314298
4683,1,249,9.199999809265137,2417,44.81999969482422,170,-123.655102,46.147369
4684,1,2946,1.100000023841858,482,84.1500015258789,-144.5,-106.05044,39.536371
4685,1,453,14.399999618530273,695,65.80000305175781,271,-122.256439,38.954015
4686,1,2072,-1.5,626,171.36000061035156,-237,-115.341929,50.977114
4687,1,1011,8,240,27.6299991607666,71.75,-121.048106,44.190047
4688,1,44,9,1483,17.049999237060547,127,-125.218932,49.973469
4689,1,1408,9.100000381469727,497,66.04000091552734,117.25,-112.023644,41.348008
4690,1,1870,-0.6000000238418579,601,167.75999450683594,-208.75,-115.347688,51.064092
4691,1,1648,5.599999904632568,264,14.079999923706055,-1.5,-112.620489,45.102875
4692,1,31,12.699999809265137,970,22.299999237060547,291,-122.942375,38.048327
4693,1,799,7,505,60.470001220703125,23.5,-120.870751,46.538779
4694,1,362,11.399999618530273,1671,62.38999938964844,233,-123.832412,39.777787
4695,1,2491,4.099999904632568,441,93.80999755859375,-52,-105.550644,40.365306
4696,1,164,10,1382,16.690000534057617,168,-122.038658,47.376537
4697,1,2099,7.699999809265137,413,103.30000305175781,56,-112.120933,36.016464
4698,1,1332,1.7999999523162842,554,35.18000030517578,-137.5,-115.027547,51.111075
4699,1,28,16.600000381469727,235,0.5299999713897705,314.75,-120.757428,37.110679
4700,1,11,11.699999809265137,1821,10.890000343322754,264.5,-124.176677,41.794656
4701,1,820,9.199999809265137,440,14.020000457763672,90.75,-117.992198,45.268621
4702,1,31,16.600000381469727,223,0.5,315.5,-120.672917,37.049492
4703,1,161,12.899999618530273,1166,36.470001220703125,289,-122.963033,38.386882
4704,1,926,5.800000190734863,787,148.02000427246094,-8.25,-117.537895,49.396058
4705,1,138,9.899999618530273,2233,57.790000915527344,210,-123.957337,45.888788
4706,1,228,10.899999618530273,1839,58.97999954223633,238.5,-124.062264,41.439857
4707,1,807,-2.4000000953674316,316,35.95000076293945,-184.5,-135.851029,60.845355
4708,1,228,10.899999618530273,1839,58.97999954223633,238.5,-124.065898,41.416669
4709,1,2212,6.099999904632568,456,74.5199966430664,5,-105.325214,39.916244
4710,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.04489,41.299183
